3 Letters,"1,1,1",A A A,A B C,A B S,A B V,A C A,A G M,A K A,A N C,A S A
3 Letters,"1,1,1",B B C,B C E,B D D,B E M,B L T,B M I,B M W,B S E,B S T
3 Letters,"1,1,1",B T W,C B I,C G I,C I A,C I D,C P I,C P R,C P S,C P U
3 Letters,"1,1,1",D D T,D I D,D N A,,,,,,
3 Letters,"1,1,1",D O A,D O E,D P P,D S M,E D P,E E C,E L O,E R M,E S C
3 Letters,"1,1,1",E S P,E T A,E V A,E L V,F A O,F A Q,F B I,F Y I,G A L
3 Letters,"1,1,1",G B H,G C H,H T H,G M T,G O P,G P S,G T I,H I V,H R H
3 Letters,"1,1,1",H R T,H S M,H T H,I B S,I C U,I D C,I M F,I M O,I O M
3 Letters,"1,1,1",I O W,I R A,I R S,I S P,I T V,I V F,J C B,J F K,J I C
3 Letters,"1,1,1",K I T,L B W,L E D,L E M,L H C,L L M,L O L,L P G,L T R
3 Letters,"1,1,1",M A D,,,,,,,,
3 Letters,"1,1,1",M B E,M C C,M C P,M C R,M F H,M I C,M I T,M L R,M M A
3 Letters,"1,1,1",M M R,M O D,M O T,M P G,M P H,M S G,N B A,N B D,N D E
3 Letters,"1,1,1",N G O,N H S,N M W,N S A,N U M,N V Q,N W O,N W T,O A P
3 Letters,"1,1,1",O B E,O B R,O C D,O C R,O E D,O M G,O N C,O T C,O T T
3 Letters,"1,1,1",P C P,P D Q,P F I,P I N,P M I,P M S,P M T,P O V,P O W
3 Letters,"1,1,1",P P E,P T A,P T O,P V C,P Y O,Q E D,,,
3 Letters,"1,1,1",Q V C,R A F,R G B,R G N,R H A,R H S,R I P,R N C,R O I
3 Letters,"1,1,1",R P G,R P I,R P M,R P O,R R P,R S I,R T F,R U C,S A E
3 Letters,"1,1,1",S A P,S A S,S B S,S I T,S M P,S O B,S O S,S P P,S R N
3 Letters,"1,1,1",S S P,S W F,T B A,T B H,T C P,T H C,T K O,T L A,T L C
3 Letters,"1,1,1",T M I,T S R,T U C,,,,,,
3 Letters,"1,1,1",U A V,U A W,U C L,U D A,U D F,U D I,U F F,U F O,U H F
3 Letters,"1,1,1",U H T,U P C,U P I,U R L,U S A,U S P,U V A,U V B,U V F
3 Letters,"1,1,1",U X B,U X O,V H F,V I P,V S O,W B A,W B C,W B O,W C C
3 Letters,"1,1,1",W F H,W H O,W I P,W T F,W T O,W W W,Y H A,Y T S,
3 Letters,"1,2",A do,A Ha,A OK,e la,I am,I do,I go,J Lo,U Nu
3 Letters,"2,1",go I,Mr T,Mr X,Pi D,,,,,
4 Letters,"1,1,1,1",A D H D,A D H S,A N P R,A S A P,A S B O,B A M E,B D S M,C M Y K,D I K Y
