LetterCount, Pattern, Word1, Word2, Word3, Word4, Word5, Word6, Word7, Word8, Word9
15 Letters,"1,2,1,7,4",I Am a Strange Loop,,,,,,,,
15 Letters,"1,2,3,9",a no win situation,V is for Vengeance,,,,,,,
15 Letters,"1,2,6,6",a la maitre d'hotel,,,,,,,,
15 Letters,"1,3,1,5,2,3",I Put a Spell on You,,,,,,,,
15 Letters,"1,3,2,1,3,5",a bit of a bad sport,,,,,,,,
15 Letters,"1,3,2,1,4,4",a bit of a busy road,a bit of a cold fish,a bit of a dead duck,a bit of a dead loss,a bit of a hard slog,a bit of a hard time,a bit of a lone wolf,a bit of a long face,a bit of a long shot
15 Letters,"1,3,2,1,4,4",a bit of a long time,a bit of a long wait,a bit of a lost soul,a bit of a wild card,,,,,
15 Letters,"1,3,2,1,5,3",a bit of a gammy leg,a bit of a mixed bag,a bit of a tight fit,,,,,,
15 Letters,"1,3,2,1,8",a bit of a braggart,a bit of a comedian,a bit of a comedown,a bit of a dickhead,a bit of a dipstick,a bit of a disaster,a bit of a domestic,a bit of a drubbing,a bit of a headache
15 Letters,"1,3,2,1,8",a bit of a madhouse,a bit of a misnomer,a bit of a mouthful,a bit of a nuisance,a bit of a shambles,a bit of a squabble,a bit of a stickler,a bit of a struggle,a bit of a surprise
15 Letters,"1,3,2,2,7",a bit of an amateur,a bit of an eyesore,a bit of an unknown,,,,,,
15 Letters,"1,3,2,3,6",a gap in the market,a man of the people,a one in ten chance,a run on the market,,,,,
15 Letters,"1,3,2,4,5",a cup of good cheer,a lot on one's plate,a man of many parts,,,,,,
15 Letters,"1,3,2,5,2,2",a lot of truth in it,,,,,,,,
15 Letters,"1,3,2,6,3",a lot to answer for,,,,,,,,
15 Letters,"1,3,2,9",a bit of nostalgia,a bit of silliness,a fit of hysterics,a fog of confusion,a man of substance,a mob of kangaroos,a nye of pheasants,a pod of porpoises,a war of attrition
15 Letters,"1,3,3,3,5",I can see for miles,,,,,,,,
15 Letters,"1,3,4,3,4",a bit meek and mild,I see what you mean,,,,,,,
15 Letters,"1,3,4,7",a bit limp wristed,a law unto himself,a law unto oneself,I can only imagine,,,,,
15 Letters,"1,3,5,2,4",a bit short of cash,a bit short of time,a new lease of life,,,,,,
15 Letters,"1,3,5,3,3",a lot going for one,,,,,,,,
15 Letters,"1,3,5,6",a big girl's blouse,a bit stand offish,a bit tight fisted,,,,,,
15 Letters,"1,3,6,5",A Man Called Horse,,,,,,,,
15 Letters,"1,3,7,4",O Mio Babbino Caro,,,,,,,,
15 Letters,"1,3,8,3",a bit uncalled for,,,,,,,,
15 Letters,"1,3,9,2",a bit scrunched up,,,,,,,,
15 Letters,"1,3,11",a bit calculating,a bit challenging,a bit complicated,a bit dishevelled,a bit dispiriting,a bit disturbing,a bit domineering,a bit embarrassed,a bit extravagant
15 Letters,"1,3,11",a bit humiliating,a bit impertinent,a bit implausible,a bit impractical,a bit incongruous,a bit infuriating,a bit inopportune,a bit intoxicated,a bit intractable
15 Letters,"1,3,11",a bit lightheaded,a bit nondescript,a bit overbearing,a bit overexcited,a bit overwhelmed,a bit overwrought,a bit predictable,a bit problematic,a bit restrictive
15 Letters,"1,3,11",a bit sentimental,a bit understated,a bit underweight,a bit unfortunate,a bit unpalatable,a bit uninspiring,a bit unnecessary,a bit unrealistic,a bit unrelenting
15 Letters,"1,3,11",X ray diffraction,X ray photography,,,,,,,
15 Letters,"1,4,1,3,3,3",I know a man who can,,,,,,,,
15 Letters,"1,4,2,1,7",A Girl in a Million,a tort et a travers,,,,,,,
15 Letters,"1,4,2,3,5",A Bend in the River,a drop in the ocean,a face in the crowd,a kick in the teeth,a kiss on the cheek,a link in the chain,a load of old tripe,a part of the whole,a peck on the cheek
15 Letters,"1,4,2,3,5",a plum in the mouth,a seat on the board,a shot at the title,a sign of the times,a slap on the wrist,a sock in the mouth,a turn of the screw,A View on the Stour,
15 Letters,"1,4,2,4,4",a hole in one's coat,A Pair of Blue Eyes,I wish I'd said that,,,,,,
15 Letters,"1,4,2,8",a bowl of cherries,a game of draughts,a game of football,a game of soldiers,a hive of activity,a hive of industry,a leap of leopards,a load of cobblers,a load of nonsense
15 Letters,"1,4,2,8",a pair of curtains,a pair of dividers,a pair of scissors,a pair of trousers,a pair of tweezers,a peal of laughter,a peep of chickens,a sack of potatoes,a seat of learning
15 Letters,"1,4,2,8",a show of strength,a test of strength,a week in politics,a week on Saturday,a week on Thursday,a work in progress,I can't be bothered,,
15 Letters,"1,4,3,1,6",a wing and a prayer,,,,,,,,
15 Letters,"1,4,3,2,5",a fish out of water,a hard nut to crack,,,,,,,
15 Letters,"1,4,3,3,4",I can't say for sure,I won't let you down,,,,,,,
15 Letters,"1,4,3,7",a head for figures,a head for heights,a stop gap measure,I shot the Sheriff,,,,,
15 Letters,"1,4,4,1,5",a head like a sieve,a mind like a sewer,a mind like a sieve,,,,,,
15 Letters,"1,4,4,2,4",a fine head of hair,a full head of hair,a good head of hair,a nice drop of rain,a rich vein of form,,,,
15 Letters,"1,4,4,3,3",I don't have all day,,,,,,,,
15 Letters,"1,4,4,6",a long time coming,a man's best friend,a week last Friday,a week last Monday,a week last Sunday,a well kept secret,I Shot Andy Warhol,I won't tell anyone,
15 Letters,"1,4,5,2,3",a high price to pay,a kind thing to say,a nice thing to say,,,,,,
15 Letters,"1,4,5,3,2",I won't stand for it,,,,,,,,
15 Letters,"1,4,5,5",a good stiff brush,a good stiff drink,I don't fancy yours,I Shot Jesse James,,,,,
15 Letters,"1,4,6,4",a well earned rest,I don't really know,,,,,,,
15 Letters,"1,4,7,3",a dark adapted eye,a good ticking off,,,,,,,
15 Letters,"1,4,10",a fair assumption,a good impression,a good investment,a hard taskmaster,a hung parliament,a poor investment,a poor substitute,a rare occurrence,a wise investment
15 Letters,"1,4,10",I don't understand,,,,,,,,
15 Letters,"1,5,2,1,6",a ghost of a chance,a storm in a teacup,,,,,,,
15 Letters,"1,5,2,3,4",a bobby on the beat,A Child of our Time,a crick in the neck,a fault on the line,a joker in the pack,a knock at the door,a knock on the door,a light in the dark,a night on the town
15 Letters,"1,5,2,3,4",a price on his head,a punch on the nose,a relic of the past,a shake of the head,a sheet in the wind,a slice of the cake,a sting in the tail,a straw in the wind,a thing of the past
15 Letters,"1,5,2,3,4",a thorn in the side,a trick of the mind,a twist in the tale,,,,,,
15 Letters,"1,5,2,4,3",a crook in one's lot,a gleam in one's eye,a house of one's own,a place of one's own,a world of one's own,I Wanna Be Like You,,,
15 Letters,"1,5,2,7",a brace of gelding,a break in routine,a bunch of flowers,a charm of finches,a charm of magpies,a coven of witches,a crime of passion,a crumb of comfort,a drove of donkeys
15 Letters,"1,5,2,7",a flash of insight,a fling of dunlins,a month of Sundays,a sense of purpose,a sense of urgency,a stake in society,a stick of rhubarb,A Study in Scarlet,a swarm of insects
15 Letters,"1,5,2,7",a taste of freedom,I Dream of Jeannie,,,,,,,
15 Letters,"1,5,3,1,5",a tooth for a tooth,I could eat a horse,,,,,,,
15 Letters,"1,5,3,2,4",a nasty bit of work,,,,,,,,
15 Letters,"1,5,3,3,3",A penny for the guy,,,,,,,,
15 Letters,"1,5,4,1,4",I never said a word,,,,,,,,
15 Letters,"1,5,4,3,2",I still don't get it,,,,,,,,
15 Letters,"1,5,4,5",a quick whip round,a quick whiz round,,,,,,,
15 Letters,"1,5,5,4",a short shelf life,,,,,,,,
15 Letters,"1,5,7,2",I would imagine so,,,,,,,,
15 Letters,"1,5,9",a brief interlude,a cheap imitation,a grave injustice,a quiet backwater,a small footprint,I Heart Huckabees,I stand corrected,M Night Shyamalan,
15 Letters,"1,6,2,3,3",a finger in the pie,A Raisin in the Sun,,,,,,,
15 Letters,"1,6,2,6",a barrel of laughs,a bottle of brandy,a bottle of sherry,a bottle of squash,a bottle of whisky,a breath of Spring,a bundle of energy,a bundle of nerves,a cackle of hyenas
15 Letters,"1,6,2,6",a comedy of errors,a couple of impala,A Couple of Swells,a course of action,a dearth of talent,a figure of speech,a flight of arrows,a flight of stairs,a matter of chance
15 Letters,"1,6,2,6",a matter of choice,a matter of course,a matter of honour,a packet of crisps,a propos de bottes,a quiver of arrows,a quiver of cobras,a school of whales,a source of regret
15 Letters,"1,6,2,6",a splash of colour,A String of Pearls,a stroke of genius,a vision of beauty,a wealth of talent,,,,
15 Letters,"1,6,3,1,4",I haven't got a clue,,,,,,,,
15 Letters,"1,6,3,2,3",a lesson for us all,,,,,,,,
15 Letters,"1,6,3,5",a little bit dopey,a little bit drunk,a little bit extra,a little bit older,a little bit saucy,a little bit silly,a little bit tipsy,a little bit tough,a little bit woozy
15 Letters,"1,6,3,5",a little bit worse,,,,,,,,
15 Letters,"1,6,4,1,3",I cannot tell a lie,a rabbit from a hat,,,,,,,
15 Letters,"1,6,5,3",I should think not,,,,,,,,
15 Letters,"1,6,8",a damned nuisance,a darned nuisance,a garden inclosed,a gentle reminder,a hearty appetite,a heated argument,a lethal cocktail,a little learning,A Little Princess
15 Letters,"1,6,8",a little stranger,a loaded question,A Modest Proposal,a sudden downpour,a thorny question,a timely reminder,a tricky customer,a vested interest,J Alfred Prufrock
15 Letters,"1,7,1,6",A Toyota's a Toyota,,,,,,,,
15 Letters,"1,7,2,5",a barrage of abuse,a clamour of rooks,a contest of wills,a glimmer of light,a meeting of minds,a mission of mercy,a modicum of skill,a modicum of taste,a modicum of truth
15 Letters,"1,7,2,5",A Passage to India,a portion of chips,a quarter to eight,a quarter to seven,a quarter to three,a rookery of seals,a sounder of boars,a torrent of abuse,a trumped up story
15 Letters,"1,7,2,5",I shudder to think,,,,,,,,
15 Letters,"1,7,3,1,3",a feature not a bug,,,,,,,,
15 Letters,"1,7,3,2,2",I wouldn't bet on it,,,,,,,,
15 Letters,"1,7,4,3",a quarter past one,a quarter past six,a quarter past ten,a quarter past two,,,,,
15 Letters,"1,7,7",a blessed release,a capital offence,a deathly silence,a fitting tribute,a genuine mistake,a glaring mistake,a glowing tribute,a hanging offence,a million dollars
15 Letters,"1,7,7",a minute's silence,a passing thought,A Perfect Getaway,a roaring success,a rousing welcome,a shining example,a sinking feeling,a stopgap measure,a winning formula
